"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-30","0.48","0.0","0.0","57","50","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-01","0.03","0.0","0.0","66","41","51",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-02","0.00","0.0","0.0","63","43","55",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-03","0.00","0.0","0.0","63","49","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-04","0.46","0.0","0.0","65","50","53",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-05","0.09","0.0","0.0","53","47","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-06","0.09","0.0","0.0","56","48","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-07","0.00","0.0","0.0","65","40","55",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-08","0.00","0.0","0.0","61","46","51",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-09","0.00","0.0","0.0","60","45","59",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-10","0.99","0.0","0.0","61","44","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-11","0.00","0.0","0.0","59","46","56",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-12","0.00","0.0","0.0","63","46","53",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-13","0.00","0.0","0.0","65","41","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-14","0.00","0.0","0.0","67","46","67",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-15","0.00","0.0","0.0","75","51","67",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-16","0.00","0.0","0.0","76","51","70",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-17","0.00","0.0","0.0","77","48","70",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-18","0.00","0.0","0.0","73","51","63",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-19","0.00","0.0","0.0","75","60","69",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-20","0.00","0.0","0.0","73","47","61",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-21","0.00","0.0","0.0","67","46","59",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-22","0.00","0.0","0.0","66","53","57",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-23","0.00","0.0","0.0","78","57","77",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-24","0.34","0.0","0.0","85","54","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-25","0.00","0.0","0.0","64","49","60",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-26","0.00","0.0","0.0","64","57","61","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-27","0.01","0.0","0.0","69","60","68",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-28","0.00","0.0","0.0","81","56","59",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-29","1.68","0.0","0.0","64","44","47",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-30","0.48","0.0","0.0","50","46","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-05-31","0.50","0.0","0.0","59","48","58","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-01","0.02","0.0","0.0","61","51","58",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-02","0.00","0.0","0.0","71","54","63",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-03","0.28","0.0","0.0","70","55","61",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-04","0.53","0.0","0.0","68","60","61","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-05","0.02","0.0","0.0","71","58","70",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-06","0.00","0.0","0.0","79","65","78",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-07","0.00","0.0","0.0","88","62","73",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-08","0.00","0.0","0.0","75","60","66","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-09","0.02","0.0","0.0","75","61","74",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-10","0.00","0.0","0.0","85","62","72",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-11","0.00","0.0","0.0","75","53","63",,,
